Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
EF,Fertilizers,72,Djibouti,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2012,2012,kg/ha,0,Fc,Calculated data
EF,Fertilizers,72,Djibouti,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2013,2013,kg/ha,0,Fc,Calculated data
EF,Fertilizers,72,Djibouti,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2014,2014,kg/ha,0,Fc,Calculated data
EF,Fertilizers,178,Eritrea,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2002,2002,kg/ha,1.19,Fc,Calculated data
EF,Fertilizers,178,Eritrea,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2003,2003,kg/ha,0.24,Fc,Calculated data
EF,Fertilizers,178,Eritrea,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2004,2004,kg/ha,0,Fc,Calculated data
EF,Fertilizers,178,Eritrea,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2005,2005,kg/ha,0,Fc,Calculated data
EF,Fertilizers,178,Eritrea,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2006,2006,kg/ha,0,Fc,Calculated data
EF,Fertilizers,178,Eritrea,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2007,2007,kg/ha,2.5,Fc,Calculated data
EF,Fertilizers,178,Eritrea,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2008,2008,kg/ha,0,Fc,Calculated data
EF,Fertilizers,178,Eritrea,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2009,2009,kg/ha,1.99,Fc,Calculated data
EF,Fertilizers,178,Eritrea,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2010,2010,kg/ha,0,Fc,Calculated data
EF,Fertilizers,178,Eritrea,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2011,2011,kg/ha,0,Fc,Calculated data
EF,Fertilizers,178,Eritrea,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2012,2012,kg/ha,0.08,Fc,Calculated data
EF,Fertilizers,178,Eritrea,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2013,2013,kg/ha,0,Fc,Calculated data
EF,Fertilizers,178,Eritrea,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2014,2014,kg/ha,0,Fc,Calculated data
EF,Fertilizers,238,Ethiopia,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2002,2002,kg/ha,6.67,Fc,Calculated data
EF,Fertilizers,238,Ethiopia,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2003,2003,kg/ha,2.43,Fc,Calculated data
EF,Fertilizers,238,Ethiopia,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2004,2004,kg/ha,3.48,Fc,Calculated data
EF,Fertilizers,238,Ethiopia,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2005,2005,kg/ha,4.36,Fc,Calculated data
EF,Fertilizers,238,Ethiopia,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2006,2006,kg/ha,4.53,Fc,Calculated data
EF,Fertilizers,238,Ethiopia,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2007,2007,kg/ha,7.9,Fc,Calculated data
EF,Fertilizers,238,Ethiopia,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2008,2008,kg/ha,8.42,Fc,Calculated data
