Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
EP,Pesticides,137,Mauritius,5159,Average use per area of cropland,1357,Pesticides,2011,2011,kg/ha,27.71,Fc,Calculated data
EP,Pesticides,137,Mauritius,5159,Average use per area of cropland,1357,Pesticides,2012,2012,kg/ha,26.07,Fc,Calculated data
EP,Pesticides,137,Mauritius,5159,Average use per area of cropland,1357,Pesticides,2013,2013,kg/ha,28.27,Fc,Calculated data
EP,Pesticides,137,Mauritius,5159,Average use per area of cropland,1357,Pesticides,2014,2014,kg/ha,27.19,Fc,Calculated data
EP,Pesticides,144,Mozambique,5159,Average use per area of cropland,1357,Pesticides,1994,1994,kg/ha,0.03,Fc,Calculated data
EP,Pesticides,144,Mozambique,5159,Average use per area of cropland,1357,Pesticides,1995,1995,kg/ha,0.02,Fc,Calculated data
EP,Pesticides,144,Mozambique,5159,Average use per area of cropland,1357,Pesticides,1996,1996,kg/ha,0.02,Fc,Calculated data
EP,Pesticides,144,Mozambique,5159,Average use per area of cropland,1357,Pesticides,1997,1997,kg/ha,0.01,Fc,Calculated data
EP,Pesticides,144,Mozambique,5159,Average use per area of cropland,1357,Pesticides,2002,2002,kg/ha,0,Fc,Calculated data
EP,Pesticides,144,Mozambique,5159,Average use per area of cropland,1357,Pesticides,2003,2003,kg/ha,0.06,Fc,Calculated data
EP,Pesticides,144,Mozambique,5159,Average use per area of cropland,1357,Pesticides,2004,2004,kg/ha,0.12,Fc,Calculated data
EP,Pesticides,144,Mozambique,5159,Average use per area of cropland,1357,Pesticides,2005,2005,kg/ha,0.15,Fc,Calculated data
EP,Pesticides,144,Mozambique,5159,Average use per area of cropland,1357,Pesticides,2006,2006,kg/ha,0.17,Fc,Calculated data
EP,Pesticides,144,Mozambique,5159,Average use per area of cropland,1357,Pesticides,2007,2007,kg/ha,0.1,Fc,Calculated data
EP,Pesticides,144,Mozambique,5159,Average use per area of cropland,1357,Pesticides,2008,2008,kg/ha,0.16,Fc,Calculated data
EP,Pesticides,144,Mozambique,5159,Average use per area of cropland,1357,Pesticides,2009,2009,kg/ha,0.16,Fc,Calculated data
EP,Pesticides,144,Mozambique,5159,Average use per area of cropland,1357,Pesticides,2010,2010,kg/ha,0.2,Fc,Calculated data
EP,Pesticides,144,Mozambique,5159,Average use per area of cropland,1357,Pesticides,2011,2011,kg/ha,0.13,Fc,Calculated data
EP,Pesticides,184,Rwanda,5159,Average use per area of cropland,1357,Pesticides,1990,1990,kg/ha,0.13,Fc,Calculated data
EP,Pesticides,184,Rwanda,5159,Average use per area of cropland,1357,Pesticides,1991,1991,kg/ha,0.09,Fc,Calculated data
EP,Pesticides,184,Rwanda,5159,Average use per area of cropland,1357,Pesticides,1992,1992,kg/ha,0.08,Fc,Calculated data
EP,Pesticides,184,Rwanda,5159,Average use per area of cropland,1357,Pesticides,1997,1997,kg/ha,0.24,Fc,Calculated data
EP,Pesticides,184,Rwanda,5159,Average use per area of cropland,1357,Pesticides,1998,1998,kg/ha,0.15,Fc,Calculated data
EP,Pesticides,184,Rwanda,5159,Average use per area of cropland,1357,Pesticides,2000,2000,kg/ha,0.13,Fc,Calculated data
EP,Pesticides,184,Rwanda,5159,Average use per area of cropland,1357,Pesticides,2001,2001,kg/ha,0.06,Fc,Calculated data
EP,Pesticides,184,Rwanda,5159,Average use per area of cropland,1357,Pesticides,2003,2003,kg/ha,0.1,Fc,Calculated data
EP,Pesticides,184,Rwanda,5159,Average use per area of cropland,1357,Pesticides,2004,2004,kg/ha,0.12,Fc,Calculated data
EP,Pesticides,184,Rwanda,5159,Average use per area of cropland,1357,Pesticides,2005,2005,kg/ha,0.17,Fc,Calculated data
EP,Pesticides,184,Rwanda,5159,Average use per area of cropland,1357,Pesticides,2006,2006,kg/ha,0.21,Fc,Calculated data
EP,Pesticides,184,Rwanda,5159,Average use per area of cropland,1357,Pesticides,2007,2007,kg/ha,0.29,Fc,Calculated data
EP,Pesticides,184,Rwanda,5159,Average use per area of cropland,1357,Pesticides,2008,2008,kg/ha,0.24,Fc,Calculated data
EP,Pesticides,184,Rwanda,5159,Average use per area of cropland,1357,Pesticides,2009,2009,kg/ha,0.87,Fc,Calculated data
EP,Pesticides,184,Rwanda,5159,Average use per area of cropland,1357,Pesticides,2010,2010,kg/ha,0.69,Fc,Calculated data
EP,Pesticides,184,Rwanda,5159,Average use per area of cropland,1357,Pesticides,2011,2011,kg/ha,0.13,Fc,Calculated data
EP,Pesticides,184,Rwanda,5159,Average use per area of cropland,1357,Pesticides,2012,2012,kg/ha,0.66,Fc,Calculated data
EP,Pesticides,184,Rwanda,5159,Average use per area of cropland,1357,Pesticides,2013,2013,kg/ha,1.29,Fc,Calculated data
EP,Pesticides,184,Rwanda,5159,Average use per area of cropland,1357,Pesticides,2014,2014,kg/ha,1.47,Fc,Calculated data
EP,Pesticides,196,Seychelles,5159,Average use per area of cropland,1357,Pesticides,1990,1990,kg/ha,2.57,Fc,Calculated data
